Scientific Name,Common Name,Rarity Status
Ivesia callida,Tahquitz mousetail,G1
Ivesia campestris,field mousetail,G3
Ivesia cryptocaulis,Charleston Peak mousetail,G2
Ivesia jaegeri,Jaeger's mousetail,G2G3
Ivesia longibracteata,longbract mousetail,G1
Ivesia lycopodioides,clubmoss mousetail,G3?
Ivesia muirii,granite mousetail,G3?
Ivesia paniculata,Ash Creek mousetail,G2
Ivesia patellifera,Kingston Mountain mousetail,G2
Ivesia pickeringii,silky mousetail,G2
Ivesia pityocharis,Pine Nut Mountain mousetail,G2
Ivesia pygmaea,dwarf mousetail,G3?
Ivesia rhypara,grimy mousetail,G2
Ivesia rhypara var. rhypara,grimy mousetail,G2T2
Ivesia rhypara var. shellyi,Shelly's mousetail,G2T1
Ivesia sabulosa,Intermountain mousetail,G3G4
Ivesia sericoleuca,Plumas mousetail,G2
Ivesia shockleyi,sky mousetail,G3G4
Ivesia shockleyi var. ostleri,Ostler's mousetail,G3G4T1
Ivesia shockleyi var. shockleyi,sky mousetail,G3G4T3T4
Ivesia unguiculata,Yosemite mousetail,G3
Ivesia utahensis,Utah mousetail,G2
Ivesia webberi,wire mousetail,G2
Jacaranda mimosifolia,black poui,G2G4
Jacquemontia curtissii,pineland clustervine,G2
Jacquemontia reclinata,beach clustervine,G1
Jamesia americana var. macrocalyx,fivepetal cliffbush,G5T2
Jamesia americana var. rosea,fivepetal cliffbush,G5T3
Jamesia americana var. zionis,Zion cliffbush,G5T2
Jamesia tetrapetala,fourpetal cliffbush,G2
Jamesianthus alabamensis,Alabama warbonnet,G3
Jamesoniella autumnalis var. heterostipa,,G5T1Q
Jamesoniella autumnalis var. myriocarpa,,G5T1?
Jamesoniella autumnalis var. nipponica,,G5T3T4
Jamesoniella undulifolia,,G3?
Jatropha cardiophylla,sangre de cristo,G3G4
Jatropha macrorhiza var. septemfida,ragged nettlespurge,G5?TU
Jepsonia heterandra,foothill jepsonia,G3
Jepsonia malvifolia,island jepsonia,G3
Johanneshowellia crateriorum,Lunar Crater buckwheat,G1
Juglans californica,Southern California walnut,G3
Juglans hindsii,Northern California walnut,G1
Juglans jamaicensis,West Indian walnut,G1G3
Juncus breweri,Brewer's rush,G3
Juncus bufonius var. congestus,toad rush,G5T2T4
Juncus caesariensis,New Jersey rush,G2G3
Juncus chlorocephalus,greenhead rush,G3?
Juncus digitatus,finger rush,G1
Juncus duranii,Duran's rush,G3
Juncus elliottii var. polyanthemus,Elliott's rush,G4G5TUTHQ
Juncus gerardii var. pedicellatus,saltmeadow rush,G5T1T3
Juncus interior var. arizonicus,Arizona rush,G4T3T4Q
Juncus kelloggii,Kellogg's dwarf rush,G3?
Juncus leiospermus,Red Bluff dwarf rush,G2
Juncus leiospermus var. ahartii,Ahart's dwarf rush,G2T1
Juncus leiospermus var. leiospermus,Red Bluff dwarf rush,G2T2
Juncus longii,Long's rush,G3Q
Juncus luciensis,Santa Lucia dwarf rush,G2G3
Juncus macrandrus,longanther rush,G3G4
Juncus nevadensis var. inventus,Sierra rush,G5T3T4
Juncus phaeocephalus,brownhead rush,G3G4
Juncus triformis,Yosemite dwarf rush,G2G3
Juncus tweedyi,Tweedy's rush,G3Q
Juncus uncialis,twelfth rush,G3G4
Jungermannia evansii,,G2G4
Jungermannia exsertifolia var. pendletonii,,G5?TU
Jungermannia karl-muelleri ssp. karl-muelleri,,GUT2T3
Jungermannia pyriflora ssp. purpurea,,G4TU
Jungermannia pyriflora ssp. pyriflora,,G4TU
Jungermannia pyriflora var. innovata,,G4TU
Jungermannia rubra,,G2G4
Jungermannia subelliptica,,G3G4
Juniperus communis var. charlottensis,common juniper,G5T3T4
Juniperus communis var. megistocarpa,common juniper,G5T2?
Juniperus maritima,seaside juniper,G3G4
Justicia angusta,pineland water-willow,G3Q
Justicia borinquensis,Monte Cerrote water-willow,G1
Justicia cooleyi,Cooley's water-willow,G2
Justicia crassifolia,thickleaf water-willow,G3
Justicia culebritae,Culebrita Island water-willow,G1
Justicia warnockii,Warnock's water-willow,G3
Justicia wrightii,Wright's waterwillow,G2
Kallstroemia perennans,perennial caltrop,G1
Kalmia cuneata,whitewicky,G3
Kalmiopsis fragrans,,G2
Kalmiopsis leachiana,North Umpqua kalmiopsis,G3
Kanaloa kahoolawensis,kanaloa,G1
Keckiella rothrockii ssp. jacintensis,Rothrock's keckiella,G4T2T3
Keckiella ternata ssp. septentrionalis,scarlet keckiella,G5T2T3
Keysseria erici,Alakai Swamp island-daisy,G1
Keysseria helenae,Mt. Waialeale island-daisy,G1
Kokia cookei,Molokai treecotton,GXC
Kokia drynarioides,Hawai'i treecotton,G1
Kokia kauaiensis,Kauai treecotton,G1
Kokia lanceolata,Wailupe Valley treecotton,GH
Korthalsella complanata,Kaumahana,G3
Korthalsella cylindrica,Hawai'i korthal mistletoe,G3
Korthalsella degeneri,Degener's korthal mistletoe,G1Q
Korthalsella latissima,Kauai korthal mistletoe,G2G3
Korthalsella platycaula,po'owaha,G2G4
Korthalsella remyana,bog korthal mistletoe,G2?
Krigia montana,mountain dwarfdandelion,G3
Krigia wrightii,Wright's dwarfdandelion,G3G4
Kumlienia hystricula,waterfall false buttercup,G3?
Kurzia makinoana,,G2G4Q
Labordia cyrtandrae,Koolau Range labordia,G1
Labordia degeneri,Degener's labordia,G3
Labordia fagraeoidea,summit labordia,G2
Labordia hedyosmifolia,bog labordia,G3
Labordia helleri,Napali Coast labordia,G1
Labordia hirtella,mountain labordia,G2G3
Labordia hosakana,ridgetop labordia,G1
Labordia kaalae,Waianae Range labordia,G1
Labordia lydgatei,Wahiawa Mountain labordia,G1
Labordia pumila,Kauai labordia,G1
Labordia sessilis,thinfruit labordia,G3
Labordia tinifolia,paleflower labordia,G3
Labordia tinifolia var. lanaiensis,Lanai labordia,G3T1
Labordia tinifolia var. tinifolia,paleflower labordia,G3T3
Labordia tinifolia var. wahiawaensis,Wahiawa labordia,G3T1
Labordia triflora,three-flower labordia,G1
Labordia venosa,Maui labordia,G3
Labordia waialealae,kamakahala lau li'i,G2G3
Labordia waiolani,Nevada peavine,G3G4
Lachnocaulon digynum,pineland bogbutton,G3
Lachnocaulon engleri,Engler's bogbutton,G3
Lachnocaulon minus,Small's bogbutton,G3G4
Laennecia eriophylla,Cochise horseweed,G3
Laennecia turnerorum,Turner's horseweed,G1
Lagophylla diabolensis,Diablo  hareleaf,G2G3
Lagophylla dichotoma,forked hareleaf,G1
Lagophylla dichotoma,forked hareleaf,G2G3
Lantana depressa,depressed shrubverbena,G2
Lantana depressa var. depressa,depressed shrubverbena,G2T1
Lantana depressa var. floridana,Florida shrubverbena,G2T1
Lantana depressa var. sanibelensis,Sanibel shrubverbena,G2T1
Laplacea portoricensis,nino de cota,G3?
Lasthenia burkei,Burke's baeria,G1
Lasthenia chrysantha,alkalisink goldfields,G3?
Lasthenia conjugens,Contra Costa goldfields,G1
Lasthenia debilis,Greene's goldfields,G3?
Lasthenia ferrisiae,Ferris' goldfields,G3
Lasthenia glabrata ssp. coulteri,Coulter's goldfields,G4T3
Lasthenia leptalea,Salinas Valley goldfields,G3
Lasthenia minor,coastal goldfields,G3G4
Lasthenia platycarpha,alkali goldfields,G3?
Lathyrus biflorus,twoflower pea,G1
Lathyrus glandulosus,redwood pea,G3
Lathyrus grimesii,Grimes' pea,G2
Lathyrus hitchcockianus,Bullfrog Mountain pea,G2
Lathyrus holochlorus,thinleaf pea,G2
Lathyrus jepsonii ssp. jepsonii,Delta tule pea,G5T2
Lathyrus lanszwertii var. aridus,Nevada pea,G4G5T3T4
Lathyrus lanszwertii var. brownii,Brown's pea,G4G5T3T4
Lathyrus lanszwertii var. tracyi,Tracy's pea,G4G5T3?
Lathyrus littoralis,silky beach pea,G3G4
Lathyrus nevadensis ssp. cusickii,Sierra pea,G5T3T4
Lathyrus nevadensis var. parkeri,Sierra pea,G5T2T3
Lathyrus nevadensis var. puniceus,Sierra pea,G5T3?
Lathyrus pauciflorus var. utahensis,Utah pea,G5T3T4
Lathyrus splendens,pride of California,G3G4
Lathyrus sulphureus var. argillaceus,snub pea,G5T1T2
Lathyrus vestitus ssp. laetiflorus,Pacific pea,G5T2T3
Lathyrus vestitus ssp. laevicarpus,Pacific pea,G5T3?
Lathyrus vestitus ssp. vestitus,Pacific pea,G5T1?
Lavatera assurgentiflora,island mallow,G2
Lavatera assurgentiflora ssp. assurgentiflora,island mallow,G2T2
Lavatera assurgentiflora ssp. glabra,southern island mallow,G2T2
Layia carnosa,beach tidytips,G2
Layia discoidea,rayless tidytips,G2
Layia heterotricha,paleyellow tidytips,G2
Layia hieracioides,tall tidytips,G3G4
Layia jonesii,Jones' tidytips,G1
Layia leucopappa,Comanche Point tidytips,G1
Layia munzii,Munz's tidytips,G1
Layia pentachaeta,Sierra tidytips,G3?
Layia septentrionalis,Colusa tidytips,G2
Leavenworthia alabamica,Alabama gladecress,G2
Leavenworthia alabamica var. alabamica,Alabama gladecress,G2T2Q
Leavenworthia alabamica var. brachystyla,Alabama gladecress,G2T1T2Q
Leavenworthia aurea,golden gladecress,G2
Leavenworthia aurea var. aurea,golden gladecress,G2T2
Leavenworthia aurea var. texana,golden gladecress,G2T1
Leavenworthia crassa,fleshyfruit gladecress,G2
Leavenworthia crassa var. crassa,fleshyfruit gladecress,G2T1Q
Leavenworthia crassa var. elongata,fleshyfruit gladecress,G2T1Q
Leavenworthia exigua var. exigua,Tennessee gladecress,G4T3
Leavenworthia exigua var. laciniata,Tennessee gladecress,G4T1T2
Leavenworthia exigua var. lutea,Tennessee gladecress,G4T1
Lechea cernua,nodding pinweed,G3
Lechea divaricata,drysand pinweed,G2
Lechea intermedia var. depauperata,largepod pinweed,G5T1T2
Lechea lakelae,Lakela's pinweed,GH
Lechea maritima var. virginica,Virginia pinweed,G5T3Q
Lechea mensalis,Chisos Mountain pinweed,G1Q
Legenere limosa,false Venus' looking glass,G2
Leitneria floridana,corkwood,G3
Lejeunea alaskana,,G2?
Lejeunea autoica,,G1
Lejeunea bermudiana,,G3G4
Lejeunea blomquistii,,G1G2
Lejeunea calcicola,,G2G4
Lejeunea calcicola var. calcicola,,G2G4T1?
Lejeunea cardoti,,G3?
Lejeunea cladogyna,,G3?
Lejeunea dimorphophylla,,G2G3
Lejeunea floridana,,G2G3
Lejeunea glaucescens var. acrogyna,,G5TH
Lejeunea glaucescens var. obsoleta,,G5T1
Lejeunea minutiloba var. heterogyna,,G4?T2?
Lejeunea ruthii,,G3G4
Lenophyllum texanum,coastal stonecrop,G3
Leochilus puertoricensis,Puerto Rico smoothlip orchid,G1?
Lepanthes dodiana,island babyboot orchid,G1?
Lepanthes eltoroensis,Luquillo Mountain babyboot orchid,G1
Lepanthopsis melanantha,tiny orchid,G3G4
Lepechinia cardiophylla,Santa Ana pitchersage,G2
Lepechinia fragrans,island pitchersage,G3
Lepechinia ganderi,San Diego pitchersage,G2
Lepechinia hastata,pakaha,G2G4
Lepechinia rossii,Ross' pitcher sage,G1
Lepidium arbuscula,Waianae Range pepperwort,G1
Lepidium barnebyanum,Barneby's pepperweed,G1
Lepidium bidentatum var. owaihiense,Kunana pepperwort,G5T2
Lepidium crenatum,alkali pepperweed,G2
Lepidium davisii,Davis' pepperweed,G3
Lepidium flavum var. felipense,yellow pepperweed,G5T1
Lepidium fremontii var. stipitatum,desert pepperweed,G5T3?
Lepidium huberi,Huber's pepperweed,G1G2
Lepidium integrifolium,thickleaf pepperweed,G2G3
Lepidium integrifolium var. heterophyllum,thickleaf pepperweed,G2G3T1T2
Lepidium integrifolium var. integrifolium,thickleaf pepperweed,G2G3T2T3
Lepidium jaredii,Jared's pepperweed,G2
Lepidium jaredii ssp. album,Panoche pepperweed,G2T2
Lepidium jaredii ssp. jaredii,Jared's pepperweed,G2T1T2
Lepidium latipes var. heckardii,Heckard's pepperweed,G4T2
Lepidium nanum,dwarf pepperweed,G3
Lepidium nitidum var. howellii,Howell's pepperweed,G5T3?
Lepidium orbiculare,round pepperweed,G1
Lepidium ostleri,Ostler's pepperweed,G1
Lepidium papilliferum,Idaho pepperweed,G2
Lepidium paysonii,Payson's pepperweed,G3?
Lepidium serra,anaunau,G3
Lepidium virginicum var. robinsonii,Robinson's pepperweed,G5T3
Lepidospartum burgessii,Burgess' broomsage,G2
Leptocereus grantianus,sebucan,G1
Leptocereus quadricostatus,pitahaya,G1
Leptochloa viscida,sticky sprangletop,G3G4
Leptodactylon californicum ssp. californicum,California prickly phlox,G5T3T4
Leptodactylon californicum ssp. leptotrichomum,California prickly phlox,G5T3?
Leptodactylon californicum ssp. tomentosum,California prickly phlox,G5T3
Leptodontium excelsum,leptodontium moss,G2
Leptohymenium sharpii,Sharp's leptohymenium moss,G1
Lespedeza leptostachya,prairie lespedeza,G3
Lesquerella angustifolia,threadleaf bladderpod,G3
Lesquerella arizonica,Arizona bladderpod,G3?
Lesquerella aurea,golden bladderpod,G2
Lesquerella calcicola,Rocky Mountain bladderpod,G3
Lesquerella calderi,Calder's bladderpod,G3G4
Lesquerella carinata,Idaho bladderpod,G3G4
Lesquerella carinata var. carinata,Idaho bladderpod,G3G4T3T4
Lesquerella carinata var. languida,Idaho bladderpod,G3G4T1Q
Lesquerella cinerea,basin bladderpod,G3
Lesquerella congesta,Dudley Bluffs bladderpod,G1
Lesquerella densipila,Duck River bladderpod,G3
Lesquerella filiformis,limestoneglade bladderpod,G3
Lesquerella fremontii,Fremont's bladderpod,G2
Lesquerella garrettii,Garrett's bladderpod,G2
Lesquerella globosa,globe bladderpod,G2
Lesquerella gooddingii,Goodding's bladderpod,G3?
Lesquerella goodrichii,Tunnel Springs Mountain bladderpod,G2G3Q
Lesquerella gordonii var. densifolia,Gordon's bladderpod,G5T1
Lesquerella hemiphysaria var. hemiphysaria,Intermountain bladderpod,G4T3?
Lesquerella hemiphysaria var. lucens,Intermountain bladderpod,G4T1
Lesquerella hitchcockii,Hitchcock's bladderpod,G3
Lesquerella humilis,St. Marys Peak bladderpod,G2
Lesquerella kaibabensis,Kaibab bladderpod,G3Q
Lesquerella kingii ssp. bernardina,King bladderpod,G5T1
Lesquerella kingii ssp. diversifolia,King bladderpod,G5T3
Lesquerella kingii var. cobrensis,King bladderpod,G5T3T4
Lesquerella kingii var. kingii,King bladderpod,G5T3T4
Lesquerella klausii,Rogers Pass bladderpod,G3
Lesquerella lata,Lincoln County bladderpod,G1?Q
Lesquerella lesicii,Pryor Mountains bladderpod,G2
Lesquerella lyrata,lyreleaf bladderpod,G1
Lesquerella macrocarpa,largefruit bladderpod,G2
Lesquerella mcvaughiana,McVaugh's bladderpod,G3
Lesquerella multiceps,manyhead bladderpod,G3
Lesquerella navajoensis,Navajo bladderpod,G2
Lesquerella obdeltata,Middle Butte bladderpod,G1G3
Lesquerella occidentalis ssp. cinerascens,western bladderpod,G4T3T4
Lesquerella pallida,white bladderpod,G1
Lesquerella parviflora,Piceance bladderpod,G2
Lesquerella parvula,pygmy bladderpod,G3?
Lesquerella paysonii,Payson's bladderpod,G3
Lesquerella pendula,Snake Range bladderpod,G2?
Lesquerella perforata,Spring Creek bladderpod,G1
Lesquerella pinetorum,White Mountain bladderpod,G3?
Lesquerella prostrata,low bladderpod,G2G3
Lesquerella pruinosa,Pagosa Springs bladderpod,G2
Lesquerella pulchella,beautiful bladderpod,G3
Lesquerella rubicundula,tum bladderpod,G3
Lesquerella stonensis,Stone River bladderpod,G1
Lesquerella subumbellata,parasol bladderpod,G3
Lesquerella thamnophila,Zapata bladderpod,G1
Lesquerella tuplashensis,White Bluffs bladderpod,G2Q
Lesquerella utahensis,Utah bladderpod,G3
Lesquerella valida,strong bladderpod,G3
Lesquerella vicina,Uncompahgre bladderpod,G2
Lessingia arachnoidea,Crystal Springs lessingia,G1
Lessingia germanorum,San Francisco lessingia,G1
Lessingia glandulifera var. glandulifera,valley lessingia,G4?T3T4
Lessingia glandulifera var. pectinata,valley lessingia,G4?T3?
Lessingia glandulifera var. tomentosa,Warner Springs lessingia,G4?T2
Lessingia hololeuca,woollyhead lessingia,G3
Lessingia lemmonii,Lemmon's lessingia,G3?
Lessingia leptoclada,Sierra lessingia,G3G4
Lessingia micradenia,Mt. Tamalpais lessingia,G2
Lessingia micradenia var. glabrata,smooth lessingia,G2T2
Lessingia micradenia var. micradenia,Mt. Tamalpais lessingia,G2T1T2
Lessingia nana,dwarf lessingia,G3G4
Lessingia nemaclada var. albiflora,slenderstem lessingia,G4T3T4
Lessingia ramulosa,Sonoma lessingia,G3?
Lessingia tenuis,spring lessingia,G3
Lessingia virgata,wand lessingia,G3?
Lewisia cantelovii,Cantelow's lewisia,G3
Lewisia congdonii,Congdon's lewisia,G2
Lewisia cotyledon var. heckneri,Heckner's lewisia,G4T2
Lewisia disepala,Yosemite lewisia,G2
Lewisia kelloggii,Kellogg's lewisia,G3G4
Lewisia kelloggii ssp. hutchisonii,Kellogg's lewisia,G3G4T2T3Q
Lewisia kelloggii ssp. kelloggii,Kellogg's lewisia,G3G4T2T3Q
Lewisia longipetala,Truckee lewisia,G2
Lewisia maguirei,Maguire's lewisia,G1
Lewisia rediviva var. minor,bitter root,G5T2T4
Lewisia sacajaweana,Sacajawea bitter root,G1
Lewisia serrata,sawtooth lewisia,G2
Lewisia stebbinsii,Stebbins' lewisia,G2
Leymus condensatus,giant wildrye,G3G4
Leymus pacificus,Pacific wildrye,G2G3
Leymus salinus ssp. mojavensis,Mojave wildrye,G5T3?Q
Leymus salinus ssp. salmonis,Salmon wildrye,G5T3?
Leymus simplex,alkali wildrye,G3
Liatris aspera var. salutans,tall blazing star,G4G5T2T4
Liatris bracteata,bracted blazing star,G2G3
Liatris cokeri,Sandhill's blazing star,G3
Liatris cymosa,branched blazing star,G2
Liatris garberi,Garber's blazing star,G3
Liatris gholsonii,Gholson's blazing star,G1
Liatris glandulosa,glandular blazing star,G3
Liatris helleri,Heller's blazing star,G2Q
Liatris microcephala,smallhead blazing star,G3G4
Liatris ohlingerae,Florida blazing star,G2
Liatris oligocephala,Cahaba torch,G1
Liatris provincialis,Godfrey's blazing star,G2
Liatris savannensis,savanna blazing star,G3G4
Liatris squarrosa var. compacta,scaly blazing star,G5T3
Liatris tenuis,Gulf blazing star,G3
Liatris turgida,turgid blazing star,G3
Ligusticum calderi,Calder's licorice-root,G3G4
Ligusticum californicum,California licorice-root,G3?
Ligusticum porteri,Porter's licorice-root,G3G4
Ligusticum porteri var. brevilobum,Porter's licorice-root,G3G4T3?
Ligusticum porteri var. porteri,Porter's licorice-root,G3G4T3T4
Lilaeopsis masonii,mudflat quillplant,G2
Lilaeopsis schaffneriana var. recurva,Schaffner's grasswort,G4T2
Lilium grayi,Gray's lily,G3
Lilium humboldtii ssp. humboldtii,Humboldt's lily,G4T3
Lilium humboldtii ssp. ocellatum,Humboldt's lily,G4T3
Lilium iridollae,panhandle lily,G2
Lilium kelloggii,Kellogg's lily,G3
Lilium maritimum,coast lily,G2
Lilium occidentale,western lily,G1
Lilium pardalinum ssp. pitkinense,Pitkin Marsh lily,G5T1
Lilium pardalinum ssp. shastense,Shasta lily,G5T3T4
Lilium parryi,lemon lily,G3
Lilium pyrophilum,Sandhills lily,G2
Lilium rubescens,redwood lily,G3
Limbella fryei,Frye's limbella moss,G1
Limnanthes alba ssp. versicolor,white meadowfoam,G4T3T4
Limnanthes bakeri,Baker's meadowfoam,G1
Limnanthes douglasii ssp. douglasii,Douglas' meadowfoam,G4T3T4
Limnanthes douglasii ssp. nivea,Douglas' meadowfoam,G4T3T4
Limnanthes douglasii ssp. ornduffii,Ornduff's meadowfoam,G4T1
Limnanthes douglasii ssp. rosea,Douglas' meadowfoam,G4T3T4
Limnanthes douglasii ssp. sulphurea,Douglas' meadowfoam,G4T2
Limnanthes floccosa ssp. bellingeriana,woolly meadowfoam,G4T3
Limnanthes floccosa ssp. californica,California meadowfoam,G4T1
Limnanthes macounii,Macoun's meadowfoam,G2
Limnanthes montana,mountain meadowfoam,G3?
Limnanthes pumila,woolly meadowfoam,G1
Limnanthes vinculans,Sebastopol meadowfoam,G1
Limosella pubiflora,Chiricahua Mountain mudwort,G1Q
Linanthus arenicola,sanddune linanthus,G3G4
Linanthus bellus,desertbeauty,G2G3
Linanthus concinnus,San Gabriel linanthus,G3
Linanthus jonesii,Jones' linanthus,G3G4
Linanthus killipii,Baldwin Lake linanthus,G2
Lindera melissifolia,southern spicebush,G2G3
Lindera subcoriacea,bog spicebush,G2G3
Lindsaea repens var. macraeana,creeping necklace fern,G5T2
Lindsaea stricta var. jamesoniiformis,smallstalk necklace fern,G4G5T3?
Linum arenicola,sand flax,G1G2
Linum carteri,Carter's flax,G2
Linum carteri var. carteri,Carter's flax,G2T1
Linum carteri var. smallii,Small's flax,G2T2
Linum lewisii var. alpicola,prairie flax,G5T2T4
Linum lewisii var. lepagei,Lewis flax,G5T2T3
Linum lundellii,Sullivan City flax,G3
Linum macrocarpum,Spring Hill flax,G2
Linum medium var. medium,stiff yellow flax,G5T3T4
Linum sulcatum var. harperi,Harper's flax,G5T2
Linum westii,West's flax,G2
Liparis hawaiensis,Hawai'i widelip orchid,G3
Liparis saundersiana,Saunders' widelip orchid,G2
Lipochaeta bryanii,pili nehe,GH
Lipochaeta connata,nehe,G2
Lipochaeta connata var. acris,nehe,G2T1T2
Lipochaeta connata var. connata,nehe,G2T1T2
Lipochaeta degeneri,Molokai nehe,GH
Lipochaeta fauriei,Olokele Canyon nehe,G1
Lipochaeta heterophylla,lavaflow nehe,G1G2
Lipochaeta integrifolia,Kure Atoll nehe,G3
Lipochaeta kamolensis,Maui nehe,G1
Lipochaeta lavarum,coastal nehe,G2G3
Lipochaeta lobata,shrubland nehe,G2
Lipochaeta lobata var. leptophylla,shrubland nehe,G2T1
Lipochaeta lobata var. lobata,shrubland nehe,G2T2
Lipochaeta micrantha,Kauai nehe,G1
Lipochaeta micrantha var. exigua,Kauai nehe,G1T1
Lipochaeta micrantha var. micrantha,Kauai nehe,G1T1
Lipochaeta perdita,ko'oko'olau,GH
Lipochaeta remyi,annual nehe,G1
Lipochaeta rockii,Rock's nehe,G1G2
Lipochaeta subcordata,grassland nehe,G2
Lipochaeta succulenta,seaside nehe,G2
Lipochaeta tenuifolia,Waianae Range nehe,G1
Lipochaeta tenuis,streambed nehe,G2
Lipochaeta venosa,spreading nehe,G1
Lipochaeta waimeaensis,Waimea Canyon nehe,G1
Listera auriculata,auricled twayblade,G3G4
Lithophragma cymbalaria,mission woodland-star,G3?
Lithophragma maximum,San Clemente Island woodland-star,G1
Lithophragma parviflorum var. trifoliatum,prairie woodland-star,G5T3?
Lithospermum confine,Arizona stoneseed,G2G4
Lithospermum parksii,Parks' stoneseed,G2G4
Lithrea molleoides,aroeira blanca,G3?
Litsea aestivalis,pondspice,G3?
Lobelia boykinii,Boykin's lobelia,G2G3
Lobelia dunnii,Dunn's lobelia,G3?
Lobelia dunnii var. dunnii,Dunn's lobelia,G3?T1T3
Lobelia dunnii var. serrata,Dunn's lobelia,G3?T3?
Lobelia gaudichaudii,Koolau Range lobelia,G1
Lobelia gaudichaudii ssp. gaudichaudii,Koolau Range lobelia,G1T1
Lobelia gaudichaudii ssp. koolauensis,Koolau Range lobelia,G1T1
Lobelia gloria-montis,bog lobelia,G1G2
Lobelia grayana,Haleakala lobelia,G1
Lobelia hillebrandii,Maui lobelia,G2G3
Lobelia homophylla,pineland lobelia,G3?
Lobelia hypoleuca,kuhi'aikamo'owahie,G3
Lobelia kauaensis,lava lobelia,G2
Lobelia laxiflora var. angustifolia,Sierra Madre lobelia,G4T3T4
Lobelia monostachya,Waianae Range lobelia,G1
Lobelia niihauensis,Niihau lobelia,G2
Lobelia oahuensis,Oahu lobelia,G1
Lobelia remyi,grayleaf lobelia,GH
Lobelia villosa,alakai swamp lobelia,G1
Lobelia yuccoides,panaunau,G2
Loeflingia squarrosa ssp. artemisiarum,spreading pygmyleaf,G5T2T3
Lomariopsis kunzeana,hollyleaf fringedfern,G2G4
Lomatium attenuatum,tapertip desertparsley,G3
Lomatium austiniae,Austin desertparsley,G3G4
Lomatium bentonitum,bentonite desertparsley,G1G2
Lomatium bicolor var. bicolor,Wasatch desertparsley,G4T3T4
Lomatium bicolor var. leptocarpum,Wasatch desertparsley,G4T3T4
Lomatium bradshawii,Bradshaw's desertparsley,G2
Lomatium brandegeei,Brandegee's desertparsley,G3?
Lomatium caruifolium,alkali desertparsley,G3G4
Lomatium caruifolium var. caruifolium,alkali desertparsley,G3G4T3T4
Lomatium caruifolium var. denticulatum,alkali desertparsley,G3G4T2T3
Lomatium ciliolatum,Yolla Bolly biscuitroot,G1G3
Lomatium concinnum,adobe desertparsley,G2G3
Lomatium congdonii,Mariposa desertparsley,G2
Lomatium cookii,agate desertparsley,G1
Lomatium cuspidatum,Wenatchee desertparsley,G2G3
Lomatium eastwoodiae,Eastwood's desertparsley,G3G4
Lomatium engelmannii,Engelmann's desertparsley,G3
Lomatium erythrocarpum,redfruit desertparsley,G1G2
Lomatium foeniculaceum ssp. fimbriatum,desert biscuitroot,G5T2T4
Lomatium foeniculaceum ssp. inyoense,Inyo biscuitroot,G5T3
Lomatium greenmanii,Greenman's biscuitroot,G1
Lomatium hooveri,Hoover's biscuitroot,G3
Lomatium insulare,San Nicholas biscuitroot,G2G3
Lomatium junceum,rush biscuitroot,G3
Lomatium laevigatum,Slickrock biscuitroot,G3
Lomatium latilobum,Canyonlands biscuitroot,G1G2
Lomatium lucidum,shiny biscuitroot,G2G3
Lomatium marginatum var. purpureum,butte desertparsley,G5T3?
Lomatium minimum,little desertparsley,G3
Lomatium mohavense ssp. mohavense,Mojave desertparsley,G4T3?
Lomatium nuttallii,Nuttall's biscuitroot,G3
Lomatium observatorium,Mt. Hamilton desertparsley,G1
Lomatium ochocense,Ochoco lomatium,G3
Lomatium packardiae,Packard's desertparsley,G2
Lomatium parvifolium,coastal biscuitroot,G3
Lomatium quintuplex,Umtanum desertparsley,G3
Lomatium repostum,Napa biscuitroot,G3
Lomatium rigidum,Big Pine biscuitroot,G3
Lomatium rollinsii,Rollins' biscuitroot,G3
Lomatium roseanum,biscuitroot,G2G3
Lomatium salmoniflorum,salmonflower biscuitroot,G3
Lomatium scabrum,rough desertparsley,G3G4
Lomatium scabrum var. scabrum,rough desertparsley,G3G4T3?
Lomatium scabrum var. tripinnatum,rough desertparsley,G3G4T2T3
Lomatium shevockii,Owens Peak desertparsley,G2
Lomatium stebbinsii,Stebbins' desertparsley,G2
Lomatium suksdorfii,Suksdorf's desertparsley,G3
Lomatium tamanitchii,Yakama biscuitroot,G3?
Lomatium thompsonii,Thompson's desertparsley,G3
Lomatium torreyi,Sierra biscuitroot,G3?
Lomatium tracyi,Tracy's desertparsley,G3
Lomatium triternatum var. brevifolium,nineleaf biscuitroot,G5T2T4
Lomatium tuberosum,Hoover's desertparsley,G2G3
Lonicera subspicata var. subspicata,southern honeysuckle,G5T2
Lonicera villosa var. fulleri,Fuller's honeysuckle,G5T1T2Q
Lophocolea appalachiana,,G1G2Q
Lophozia alboviridis,,G1?
Lophozia elongata,,G2G3
Lophozia excisa var. elegans,,G5T1T2
Lophozia gillmanii var. ciliolata,,G5T1?
Lophozia grandiretis,,G3?
Lophozia grandiretis var. grandiretis,,G3?T3?
Lophozia grandiretis var. parviretis,,G3?T1?
Lophozia groenlandica,,G3G4
Lophozia heterocolpos var. harpanthoides,,G5T2T4
Lophozia heteromorpha,,G1?
Lophozia hyperarctica,,G1
Lophozia incisa var. inermis,,G5T2T4
Lophozia latifolia,,G3G4
Lophozia longidens ssp. arctica,,G5T2T3
Lophozia pellucida,,G3?
Lophozia pellucida var. minor,,G3?T2?
Lophozia pellucida var. pellucida,,G3?T3?
Lophozia perssonii,,G3?
