Scientific Name,Common Name,Rarity Status
Allium haematochiton,redskin onion,G3G4
Allium hickmanii,Hickman's onion,G2
Allium hoffmanii,beegum onion,G3
Allium howellii var. clokeyi,Clokey's onion,G4T2
Allium howellii var. sanbenitense,San Benito onion,G4T3?
Allium jepsonii,Jepson's onion,G1
Allium lacunosum var. davisiae,pitted onion,G4?T3?
Allium lacunosum var. kernense,Kern's pitted onion,G4?T3?
Allium lacunosum var. micranthum,pitted onion,G4?T3?
Allium madidum,swamp onion,G3
Allium monticola,San Bernardino Mountain onion,G2G3
Allium munzii,Munz's onion,G1
Allium nevii,Nevius' garlic,G3G4
Allium obtusum var. conspicuum,red Sierra onion,G4T2T3
Allium oxyphilum,lillydale onion,G2Q
Allium parishii,Parish's onion,G3
Allium passeyi,Passey's onion,G1
Allium peninsulare var. franciscanum,San Francisco onion,G5T2
Allium perdulce var. sperryi,Sperry's onion,G4T3
Allium pleianthum,manyflower onion,G3Q
Allium punctum,dotted onion,G3?
Allium robinsonii,Robinson's onion,G3
Allium sanbornii,Sanborn's onion,G3
Allium sanbornii var. congdonii,Congdon's onion,G3T3
Allium sanbornii var. sanbornii,Sanborn's onion,G3T3
Allium scilloides,fragile onion,G2G3
Allium serra,jeweled onion,G3G4
Allium sharsmithiae,Sharsmith's onion,G2
Allium shevockii,Spanish Needle onion,G2
Allium speculae,Little River Canyon onion,G2
Allium tolmiei var. persimile,sevendevils onion,G4G5T3
Allium tolmiei var. platyphyllum,Wallowa onion,G4G5T3Q
Allium tribracteatum,threebract onion,G2
Allium tuolumnense,Rawhide Hill onion,G2
Allium yosemitense,Yosemite onion,G2
Allolepis texana,Texas salt,G2
Alnus maritima,seaside alder,G3
Alnus oblongifolia,Arizona alder,G3G4
Aloina bifrons,aloina moss,G3G4
Alopecurus aequalis var. sonomensis,Sonoma shortawn foxtail,G5T1Q
Alphitonia ponderosa,Hawai'i kauilatree,G2
Alsinidendron lychnoides,kuawawaenohu,G1
Alsinidendron obovatum,Waianae Range alsinidendron,G1
Alsinidendron trinerve,mountain alsinidendron,G1
Alsinidendron viscosum,climbing alsinidendron,G1
Alsophila amintae,forest alsophila,G1
Alsophila brooksii,Brooks' alsophila,G1G3
Amaranthus brownii,Brown's amaranth,G1
Amaranthus floridanus,Florida amaranth,G3
Amaranthus pumilus,seaside amaranth,G2
Ambrosia cheiranthifolia,Rio Grande ragweed,G2
Ambrosia chenopodiifolia,San Diego bur ragweed,G3?
Ambrosia linearis,streaked bur ragweed,G3
Ambrosia pumila,dwarf bur ragweed,G1
Amelanchier nantucketensis,Nantucket serviceberry,G3Q
Amelanchier utahensis var. covillei,Coville's serviceberry,G5T2T4
Ammophila champlainensis,Champlain beachgrass,G2G3Q
Ammoselinum giganteum,western sandparsley,G2G3
Amoreuxia gonzalezii,Santa Rita mountain yellowshow,G1
Amorpha californica var. napensis,Napa false indigo,G4T2
Amorpha georgiana,Georgia false indigo,G3
Amorpha georgiana var. confusa,Georgia false indigo,G3T3
Amorpha georgiana var. georgiana,Georgia false indigo,G3T2
Amorpha herbacea var. crenulata,clusterspike false indigo,G4T1
Amorpha laevigata,smooth false indigo,G3?
Amorpha nitens,shining false indigo,G3?
Amorpha ouachitensis,Ouachita false indigo,G3Q
Amorpha paniculata,panicled false indigo,G2G3
Amorpha roemeriana,Roemer's false indigo,G3
Amorpha schwerinii,Schwerin's false indigo,G3G4
Amphianthus pusillus,little amphianthus,G2
Amphipappus fremontii ssp. fremontii,Fremont's chaffbush,G5T3T4
Amsinckia carinata,Malheur Valley fiddleneck,G2
Amsinckia douglasiana,Douglas' fiddleneck,G3
Amsinckia grandiflora,largeflowered fiddleneck,G1
Amsinckia lunaris,bentflower fiddleneck,G2?
Amsinckia vernicosa var. furcata,forked green fiddleneck,G4T3
Amsonia fugatei,San Antonio bluestar,G2
Amsonia grandiflora,Arizona bluestar,G2
Amsonia hubrichtii,Hubricht's bluestar,G3
Amsonia kearneyana,Kearney's bluestar,G1
Amsonia ludoviciana,Louisiana bluestar,G3
Amsonia peeblesii,Peebles' bluestar,G3
Amsonia tabernaemontana var. gattingeri,eastern bluestar,G5T3Q
Amsonia tharpii,feltleaf bluestar,G1
Ananas comosus,pineapple,GUGHC
Anastrophyllum assimile,,G3?
Anastrophyllum donianum,,G3?
Anastrophyllum minutum var. grandis,,G5T3T4
Anastrophyllum saxicola,,G3G4
Anastrophyllum sphenoloboides,,G2?
Anastrophyllum tenue,,G1G2
Andreaea megistospora var. epapillosa,andreaea moss,G4G5T2T3
Andreaea schofieldiana,Schofield's andreaea moss,G2G3
Andreaea sinuosa,andreaea moss,G2
Andreaeobryum macrosporum,big spore andreaeobryum moss,G2G3
Andropogon arctatus,pinewoods bluestem,G3
Andropogon glomeratus var. scabriglumis,roughglume bushy bluestem,G5T3?
Anemia cicutaria,,G3G4
Anemia wrightii,Wright's flowering fern,G2?
Anemone drummondii ssp. heimburgeri,Heimburger's anemone,G4T3?
Anemone edwardsiana var. petraea,Edwards Plateau thimbleweed,G4T1Q
Anemone multiceps,Porcupine River thimbleweed,G3G4
Anemone multifida var. stylosa,Pacific anemone,G5T2T3
Anemone oregana var. felix,bog anemone,G4T3
